cell_specimen_id,axon.total_length,all_neurites.total_length,basal_dendrite.total_length,dendrite.total_length,dendrite.total_surface_area,axon.total_surface_area,all_neurites.total_surface_area,basal_dendrite.total_surface_area,dendrite.total_volume,axon.total_volume,all_neurites.total_volume,basal_dendrite.total_volume,dendrite.num_tips,axon.num_tips,all_neurites.num_tips,basal_dendrite.num_tips,dendrite.num_nodes,axon.num_nodes,all_neurites.num_nodes,basal_dendrite.num_nodes,dendrite.num_branches,axon.num_branches,all_neurites.num_branches,basal_dendrite.num_branches
809113087,19558.95619,23895.53496,4334.775154,4334.775154,8966.098974,18907.8416,28871.47415,8966.098974,1586.895031,1496.433699,4589.613558,1586.895031,37,221,258,37,2758,12666,15425,2758,68,441,514,68
809338969,27643.25149,31201.40759,3558.156106,3558.156106,7165.849624,19875.82408,28323.21039,7165.849624,1207.151149,1138.557416,4360.235465,1207.151149,34,290,324,34,2759,20571,23331,2759,62,579,646,62
809649556,26165.88892,29763.15072,3597.261806,3597.261806,6906.060348,24972.75793,33410.86175,6906.060348,1112.201521,1955.546655,5632.955595,1112.201521,39,346,385,39,2775,19525,22301,2775,71,691,768,71
809688289,9452.925227,12315.88759,2862.083853,2862.083853,5524.181655,6899.262614,12699.27977,5524.181655,900.4974018,406.2952982,1696.15671,900.4974018,24,130,154,24,1809,6142,7952,1809,46,259,306,46
810317285,9256.784552,14279.83488,5021.499907,5021.499907,9864.505748,6653.743404,17351.20599,9864.505748,1647.003669,380.5941227,3115.456138,1647.003669,37,130,167,37,3760,6657,10418,3760,69,259,332,69
812996960,33121.32042,36421.10373,3298.714843,3298.714843,6505.088308,23902.98688,31769.6422,6505.088308,1099.555542,1377.844621,4882.541176,1099.555542,27,392,419,27,2243,21893,24137,2243,48,783,836,48
813500978,5248.424714,7004.307667,1754.599973,1754.599973,3957.437134,3772.548786,8441.830658,3957.437134,754.1429216,215.7897905,2167.396711,754.1429216,20,94,114,20,1269,3813,5083,1269,39,187,226,39
816012073,8554.563579,12356.29214,3800.199995,3800.199995,5779.116431,6149.633028,13636.76933,5779.116431,734.8444323,351.8251286,3990.436854,734.8444323,34,97,131,34,2593,5951,8545,2593,60,193,260,60
816434177,43682.71618,48332.9516,4648.592216,4648.592216,9823.79387,31419.99882,42512.91379,9823.79387,1799.360127,1799.530347,6015.073182,1799.360127,31,300,331,31,3314,32140,35455,3314,59,599,660,59
817935092,14638.54056,17555.35465,2916.12992,2916.12992,4809.217398,15480.49678,21391.38259,4809.217398,646.200345,1310.292418,3448.93462,646.200345,52,221,273,52,2118,10853,12972,2118,96,441,544,96
818792182,14459.89438,17443.38902,2983.494643,2983.494643,5365.908615,11942.15835,18101.43574,5365.908615,817.8868905,1321.25765,3064.861324,817.8868905,22,168,190,22,1922,9342,11265,1922,38,335,378,38
820754704,25623.1537,29045.80486,3421.747417,3421.747417,5353.16485,18418.47166,24612.36041,5353.16485,715.1488622,1053.602432,3041.845315,715.1488622,27,234,261,27,2613,17409,20023,2613,49,467,520,49
820897104,12188.62882,15336.35561,3147.726794,3147.726794,6136.486477,8762.085389,16282.86286,6136.486477,993.198401,501.3117007,3621.375034,993.198401,24,129,153,24,2034,7984,10019,2034,41,257,304,41
821563005,16670.67597,19044.6703,2372.600789,2372.600789,3781.181883,16612.02778,22313.65153,3781.181883,483.9462975,1346.192578,5035.033303,483.9462975,19,160,179,19,1581,10902,12484,1581,31,319,356,31
821771315,16335.11019,18992.9722,2657.022293,2657.022293,5264.167289,11986.9309,17759.71931,5264.167289,864.4845918,713.2825189,2278.361812,864.4845918,29,152,181,29,1789,11358,13148,1789,54,303,360,54
821774757,5784.529208,8767.82376,2983.294552,2983.294552,4615.513465,4482.364875,10213.05353,4615.513465,574.0909644,293.0111774,2636.087458,574.0909644,25,57,82,25,2044,4145,6190,2044,45,113,162,45
